ordid,primordid,parentid
B_CH1OU4QLV3,B_CH1OU4QLV3,QB00000024__QB_PRODCH
B_CH1OU4QPC4,B_CH1OU4QPC4,QB00000075__QB_PRODCH
B_CH1OU4QPD6,B_CH1OU4QPD6,QB00000077__QB_PRODCH
B_CH1OU4QPD7,B_CH1OU4QPD7,QB00000077__QB_PRODCH
B_CH1OU4QPD9,B_CH1OU4QPD9,QB00000079__QB_PRODCH
B_CH1OU4QPDA,B_CH1OU4QPDA,QB00000079__QB_PRODCH
B_CH1OU4QPDC,B_CH1OU4QPDC,QB00000081__QB_PRODCH
B_CH1OU4QPDE,B_CH1OU4QPDE,QB00000083__QB_PRODCH
B_CH1OU4QPDF,B_CH1OU4QPDF,QB00000083__QB_PRODCH
B_CH1OU4QPDH,B_CH1OU4QPDH,QB00000085__QB_PRODCH
B_CH1OU4QPDI,B_CH1OU4QPDI,QB00000085__QB_PRODCH
B_CH1OU4QPEK,B_CH1OU4QPEK,QB00000087__QB_PRODCH
B_CH1OU4QPEM,B_CH1OU4QPEM,QB00000089__QB_PRODCH
B_CH1OU4QPEN,B_CH1OU4QPEN,QB00000089__QB_PRODCH
B_CH1OU4QPEP,B_CH1OU4QPEP,QB00000091__QB_PRODCH
B_CH1OU4QPEQ,B_CH1OU4QPEQ,QB00000091__QB_PRODCH
B_CH1OU4QPES,B_CH1OU4QPES,QB00000092__QB_PRODCH
B_CH1OU4QPET,B_CH1OU4QPET,QB00000092__QB_PRODCH
B_CH1OU4QPEV,B_CH1OU4QPEV,QB00000094__QB_PRODCH
B_CH1OU4QPEV,B_CH1OU4QPEV,QB00000094__QB_PRODCH
B_CH1OU4QPEW,B_CH1OU4QPEW,QB00000094__QB_PRODCH
B_CH1OU4QPEX,B_CH1OU4QPEX,QB00000094__QB_PRODCH
B_CH1OU4QPEY,B_CH1OU4QPEY,QB00000094__QB_PRODCH
B_CH1OU4QPF11,B_CH1OU4QPF11,QB00000096__QB_PRODCH
B_CH1OU4QPF13,B_CH1OU4QPF13,QB00000098__QB_PRODCH
B_CH1OU4QPF14,B_CH1OU4QPF14,QB00000098__QB_PRODCH
S_CH1OU4QPFE,S_CH1OU4QPFE,QB00000099__QB_PRODCH
B2_CH1OU4QPF1,B2_CH1OU4QPF1,QB300000003__QB_PRODCH3
B2_CH1OU4QPF1,B2_CH1OU4QPF1,QB300000003__QB_PRODCH3
B2_CH1OU4QPF4,B2_CH1OU4QPF4,QB300000003__QB_PRODCH3
B_CH1OU4QPF16,B_CH1OU4QPF16,QB00000102__QB_PRODCH
S_CH1OU4QPFH,S_CH1OU4QPFH,QB00000103__QB_PRODCH
S_CH1OU4QPFI,S_CH1OU4QPFI,QB00000103__QB_PRODCH
B_CH1OU4QPG1A,B_CH1OU4QPES,QB00000092__QB_PRODCH
B_CH1OU4QPG1A,B_CH1OU4QPES,QB00000092__QB_PRODCH
B_CH1OU4QPG1B,B_CH1OU4QPG1B,QB00000092__QB_PRODCH
B_CH1OU4QPG1C,B_CH1OU4QPG1C,QB00000092__QB_PRODCH
B_CH1OU4QPG1D,B_CH1OU4QPG1D,QB00000108__QB_PRODCH
B_CH1OU4QPG1E,B_CH1OU4QPG1E,QB00000108__QB_PRODCH
B_CH1OU4QPG1G,B_CH1OU4QPG1G,QB00000110__QB_PRODCH
B_CH1OU4QPG1G,B_CH1OU4QPG1G,QB00000110__QB_PRODCH
B_CH1OU4QPG1H,B_CH1OU4QPG1H,QB00000110__QB_PRODCH
B_CH1OU4QPG1I,B_CH1OU4QPG1I,QB00000110__QB_PRODCH
B_CH1OU4QPG1M,B_CH1OU4QPEK,QB00000087__QB_PRODCH
B_CH1OU4QPG1M,B_CH1OU4QPEK,QB00000087__QB_PRODCH
B_CH1OU4QPH1O,B_CH1OU4QPH1O,QB00000116__QB_PRODCH
B_CH1OU4QPH1P,B_CH1OU4QPH1P,QB00000116__QB_PRODCH
S_CH1OU4QPHQ,S_CH1OU4QPHQ,QB00000117__QB_PRODCH
B_CH1OU4QPH1R,B_CH1OU4QPH1R,QB00000118__QB_PRODCH
B_CH1OU4QPH1S,B_CH1OU4QPH1S,QB00000118__QB_PRODCH
B_CH1OU4QPH1U,B_CH1OU4QPH1U,QB00000120__QB_PRODCH
B_CH1OU4QPH1W,B_CH1OU4QPH1W,QB00000122__QB_PRODCH
B_CH1OU4QPI1Y,B_CH1OU4QPI1Y,QB00000124__QB_PRODCH
B_CH1OU4QPI1Z,B_CH1OU4QPI1Z,QB00000124__QB_PRODCH
B_CH1OU4QPI21,B_CH1OU4QPI21,QB00000126__QB_PRODCH
B_CH1OU4QPI21,B_CH1OU4QPI21,QB00000126__QB_PRODCH
B_CH1OU4QPI22,B_CH1OU4QPI22,QB00000126__QB_PRODCH
B_CH1OU4QPI23,B_CH1OU4QPI23,QB00000126__QB_PRODCH
B_CH1OU4QPI24,B_CH1OU4QPI24,QB00000126__QB_PRODCH
B_CH1OU4QPI27,B_CH1OU4QPI27,QB00000128__QB_PRODCH
B_CH1OU4QPI27,B_CH1OU4QPI27,QB00000128__QB_PRODCH
B_CH1OU4QPI28,B_CH1OU4QPI28,QB00000128__QB_PRODCH
B_CH1OU4QPI29,B_CH1OU4QPI29,QB00000128__QB_PRODCH
B_CH1OU4QPI2C,B_CH1OU4QPI2C,QB00000130__QB_PRODCH
B_CH1OU4QPI2C,B_CH1OU4QPI2C,QB00000130__QB_PRODCH
B_CH1OU4QPI2D,B_CH1OU4QPI2D,QB00000130__QB_PRODCH
B_CH1OU4QPI2D,B_CH1OU4QPI2D,QB00000130__QB_PRODCH
B_CH1OU4QPI2E,B_CH1OU4QPI2E,QB00000130__QB_PRODCH
B_CH1OU4QPI2I,B_CH1OU4QPI2I,QB00000130__QB_PRODCH
B_CH1OU4QPI2I,B_CH1OU4QPI2I,QB00000130__QB_PRODCH
B_CH1OU4QPI2K,B_CH1OU4QPI2K,QB00000130__QB_PRODCH
B_CH1OU4QPI2K,B_CH1OU4QPI2K,QB00000130__QB_PRODCH
B_CH1OU4QPI2M,B_CH1OU4QPI2M,QB00000130__QB_PRODCH
B_CH1OU4QPI2M,B_CH1OU4QPI2M,QB00000130__QB_PRODCH
B_CH1OU4QPI2O,B_CH1OU4QPI2O,QB00000132__QB_PRODCH
B_CH1OU4QPI2O,B_CH1OU4QPI2O,QB00000132__QB_PRODCH
B_CH1OU4QPI2R,B_CH1OU4QPI2R,QB00000132__QB_PRODCH
B_CH1OU4QPI2S,B_CH1OU4QPI2S,QB00000132__QB_PRODCH
B_CH1OU4QPDE,B_CH1OU4QPDE,QB00000083__QB_PRODCH
B_CH1OU4QPJ2T,B_CH1OU4QPG1E,QB00000108__QB_PRODCH
B_CH1OU4QPJ2T,B_CH1OU4QPG1E,QB00000108__QB_PRODCH
B_CH1OU4QPJ2U,B_CH1OU4QPJ2U,QB00000108__QB_PRODCH
B_CH1OU4QPJ2V,B_CH1OU4QPJ2V,QB00000083__QB_PRODCH
B_CH1OU4QPJ2W,B_CH1OU4QPJ2W,QB00000134__QB_PRODCH
B_CH1OU4QPJ2X,B_CH1OU4QPJ2X,QB00000134__QB_PRODCH
B_CH1OU4QPJ2Z,B_CH1OU4QPJ2Z,QB00000136__QB_PRODCH
B_CH1OU4QPJ30,B_CH1OU4QPJ30,QB00000136__QB_PRODCH
B_CH1OU4QPJ32,B_CH1OU4QPJ32,QB00000138__QB_PRODCH
B_CH1OU4QPJ33,B_CH1OU4QPJ33,QB00000138__QB_PRODCH
B_CH1OU4QPJ35,B_CH1OU4QPJ35,QB00000140__QB_PRODCH
B_CH1OU4QPJ36,B_CH1OU4QPJ36,QB00000140__QB_PRODCH
QBSOR_CH1OU4QPK1,QBSOR_CH1OU4QPK1,QB400000003__QB_PRODCH4
QBSOR_CH1OU4QPK2,QBSOR_CH1OU4QPK2,QB400000003__QB_PRODCH4
B_CH1OU4QPK3B,B_CH1OU4QPK3B,QB00000081__QB_PRODCH
B2_CH1OU4QPL5,B2_CH1OU4QPL5,QB300000003__QB_PRODCH3
B2_CH1OU4QPL6,B2_CH1OU4QPL6,QB300000003__QB_PRODCH3
B2_CH1OU4QPL7,B2_CH1OU4QPL5,QB300000003__QB_PRODCH3
B2_CH1OU4QPL7,B2_CH1OU4QPL5,QB300000003__QB_PRODCH3
B2_CH1OU4QPL8,B2_CH1OU4QPF4,QB300000003__QB_PRODCH3
B2_CH1OU4QPL8,B2_CH1OU4QPF4,QB300000003__QB_PRODCH3
B2_CH1OU4QPL9,B2_CH1OU4QPL9,QB300000003__QB_PRODCH3
B_CH1OU4QPL3E,B_CH1OU4QPL3E,QB00000154__QB_PRODCH
S_CH1OU4QPL19,S_CH1OU4QPL19,QB00000155__QB_PRODCH
S_CH1OU4QPL1A,S_CH1OU4QPL1A,QB00000155__QB_PRODCH
B_CH1OU4QPN3H,B_CH1OU4QPN3H,QB00000085__QB_PRODCH
B_CH1OU4QPN3H,B_CH1OU4QPN3H,QB00000085__QB_PRODCH
