clientid,parentid,is_healthy,num_child,inbound_exec_qty,outbound_exec_qty
QB1818068992956SU729,QB00000090__QB_PRODCH,True,0,0,0
QB180542508096PLV763morntestbolt18.03.01.d03.cme,QB00000128__QB_PRODCH,True,21,5,5
QB014758561042FDAXU723,QB00000075__QB_PRODFR,True,0,0,0
QB180526069101NGU759,QB00000031__QB_PRODCH,True,0,0,0
QB180539108793ESU731morntestbolt18.03.01.d03.cme,QB00000096__QB_PRODCH,True,6,5,5
QB013224739807FGBXU745,QB00000020__QB_PRODFR,True,0,0,0
QB180541257399N1UU751morntestbolt18.03.01.d03.cme,QB00000116__QB_PRODCH,True,98,0,0
QB201003893300GEZ87,QB00000259__QB_PRODCH,True,2,92,92
QB180526062774CLU749,QB00000025__QB_PRODCH,True,0,0,0
QB180526070401NGU761,QB00000032__QB_PRODCH,True,0,0,0
QB013224730741FGBXU743,QB00000019__QB_PRODFR,True,0,0,0
QB180538579664B1UU726morntestbolt18.03.01.d03.cme,QB00000091__QB_PRODCH,True,104,0,0
QB200936115658TFU729morntestbolt20.07.01.d03.ice,QB400000008__QB_PRODCH4,True,9,5,5
QB1805383751686SU724morntestbolt18.03.01.d03.cme,QB00000089__QB_PRODCH,True,12,5,5
QB014758540308FBTPU719,QB00000071__QB_PRODFR,True,0,0,0
QB201002568991GEZ84,QB00000242__QB_PRODCH,True,0,0,0
QB180526043778ZBU715,QB00000005__QB_PRODCH,True,0,0,0
QB2004049929559128282N913cash.20.04.01.d03.cash,QB00000006__QB_PRODNY,False,0,5,0
QB014457913700ZU713,QB00000030__QB_PRODFR,True,0,0,0
QB180526072907CLV765,QB00000034__QB_PRODCH,True,0,0,0
QB202157608108KCU725,QB00000224__QB_PRODCH,True,0,0,0
QB180543797254ZBU775morntestbolt18.03.01.d03.cme,QB00000140__QB_PRODCH,True,37,5,5
QB180545480924ZWU791morntestbolt18.03.01.d03.cme,QB00000156__QB_PRODCH,True,5,5,5
QB201002776672ZNU75,QB00000245__QB_PRODCH,True,16,800,800
QB013536500977FGBLU721morntestbolt1.33.01.d04.eux,QB00000078__QB_PRODFR,False,0,5,0
QB200935706042MFSU722morntestbolt20.07.01.d03.ice,QB00000225__QB_PRODCH,False,17,5,3
QB014758602502FGBSU731,QB00000083__QB_PRODFR,True,0,0,0
QB013235962849LU712morntestbolt1.30.01.d04.lif,QB00000057__QB_PRODFR,False,0,5,0
QB181806933375HOU749,QB00000111__QB_PRODCH,True,0,0,0
QB201003854324GEU87,QB00000258__QB_PRODCH,True,3,94,94
QB181807007601ZNU789,QB00000151__QB_PRODCH,True,0,0,0
QB181806922635GFQ743,QB00000105__QB_PRODCH,True,0,0,0
QB013224785252RU755,QB00000025__QB_PRODFR,True,0,0,0
QB180526055715NQU737,QB00000017__QB_PRODCH,True,0,0,0
QB201002490794GEM84,QB00000240__QB_PRODCH,True,0,0,0
QB2004049862449128282K510cash.20.04.01.d03.cash,QB00000003__QB_PRODNY,False,0,5,0
QB014758507190CONFU713,QB00000067__QB_PRODFR,True,0,0,0
QB180526078308HOV773,QB00000038__QB_PRODCH,True,0,0,0
QB180526080975NGV777,QB00000040__QB_PRODCH,True,0,0,0
QB201004168199GEU07,QB00000266__QB_PRODCH,True,5,91,91
QB014457945365RU719,QB00000060__QB_PRODFR,True,0,0,0
QB201002373035GEU74,QB00000236__QB_PRODCH,True,0,0,0
QB181807011533ZSX791,QB00000153__QB_PRODCH,True,0,0,0
QB014758571141FESXU725,QB00000077__QB_PRODFR,True,0,0,0
QB013236292501ZU718morntestbolt1.30.01.d04.lif,QB00000063__QB_PRODFR,False,0,5,0
QB181806940286LEV753,QB00000115__QB_PRODCH,True,0,0,0
QB180526047186ZTU721,QB00000008__QB_PRODCH,True,0,0,0
QB020013405506IZ83,QB00000403__QB_PRODCH,False,0,22,0
QB181806943675N1UU755,QB00000117__QB_PRODCH,True,60,0,0
QB200935562415GU718morntestbolt20.07.01.d03.ice,QB00000221__QB_PRODCH,True,8,5,5
QB013224712711FGBSU739,QB00000017__QB_PRODFR,True,0,0,0
QB202157626591OJU731,QB00000229__QB_PRODCH,True,0,0,0
QB181806968909RBU769,QB00000131__QB_PRODCH,True,0,0,0
QB180526046058ZTU719,QB00000007__QB_PRODCH,True,0,0,0
QB180526067811HOU757,QB00000030__QB_PRODCH,True,0,0,0
QB200703044006BRNV710morntestbolt20.07.01.d03.ice.probe,QB00000209__QB_PRODCH,True,40,5,5
QB061343578590BAXZ711,QB00000570__QB_PRODCH,True,0,0,0
QB014457967405ZU723,QB00000064__QB_PRODFR,True,0,0,0
QB201004129048GEM07,QB00000265__QB_PRODCH,True,2,91,91
QB013224766854ZU751,QB00000023__QB_PRODFR,True,0,0,0
QB013224667543FGBLU729,QB00000012__QB_PRODFR,True,0,0,0
QB180541471044NGU753morntestbolt18.03.01.d03.cme,QB00000118__QB_PRODCH,True,16,5,5
QB180304155028GFQ710morntestbolt18.03.01.d03.cme.probe,QB00000016__QB_PRODCH,True,59,5,5
QB014457924034IZ815,QB00000056__QB_PRODFR,True,0,0,0
QB181806965128PLV767,QB00000129__QB_PRODCH,True,0,0,0
QB014758622820FOATU735,QB00000087__QB_PRODFR,True,0,0,0
QB201003069082VXU78,QB00000251__QB_PRODCH,False,0,75,0
QB180526064249RBU751,QB00000026__QB_PRODCH,True,0,0,0
QB181806961573PAU765,QB00000127__QB_PRODCH,True,0,0,0
QB060104118550SXFU714morntestbolt6.01.02.d04.tmx,QB00000573__QB_PRODCH,True,0,0,0
QB013003832971ZU712morntestbolt1.30.01.d04.lif.probe,QB00000029__QB_PRODFR,False,0,5,0
QB181806994437ZFU783,QB400000004__QB_PRODCH4,True,0,0,0
QB200936000936SBV727morntestbolt20.07.01.d03.ice,QB00000230__QB_PRODCH,True,15,5,5
QB014758643023FVSQ739,QB00000091__QB_PRODFR,True,0,0,0
QB201004011478GEU97,QB00000262__QB_PRODCH,True,2,92,92
QB013536092448FBTPU713morntestbolt1.33.01.d04.eux,QB00000070__QB_PRODFR,False,0,5,0
